id:INTEGER,ISBN_13,Title,Author,Price:FLOAT,Publisher,Publication_date,Pages:INTEGER
227,9780062297211,The Monogram Murders: The New Hercule Poirot Mystery (Hercule Poirot Mysteries),Sophie Hannah,14.93,William Morrow,09/09/2014,320
228,9780679723165,Lolita,Vladimir Nabokov,9.57,Vintage,03/13/1989,317
229,9780060589462,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,6,HarperTorch,04/25/2006,560
230,9780765356864,One Second After,William R. Forstchen,8.51,Tor Books,04/26/2011,528
231,9781451627299,11/22/63: A Novel,Stephen King,11.29,Gallery Books,07/24/2012,880
232,9780765326362,"Words of Radiance (The Stormlight Archive, Book 2) (Stormlight Archive, The)",Brandon Sanderson,20.29,Tor Books,03/04/2014,1088
233,9780756404741,The Name of the Wind (Kingkiller Chronicle),Patrick Rothfuss,7.99,DAW Books,04/01/2008,722
234,9780778316640,'Tis The Season: Under the Christmas Tree\Midnight Confessions\Backward Glance,Robyn Carr,5.78,Harlequin MIRA,10/28/2014,336
235,9780143039433,The Grapes of Wrath,John Steinbeck,11.11,Penguin Classics,03/28/2006,464
236,9780393327342,Fight Club: A Novel,Chuck Palahniuk,8.44,W. W. Norton,10/17/2005,224
237,9781439110003,The Bro Code,Barney Stinson,8.39,Fireside,10/14/2008,195
238,9780670015672,The Magician's Land: A Novel (Magicians Trilogy),Lev Grossman,17.49,Viking Adult,08/05/2014,416
239,9781451687477,Angels Walking: A Novel,Karen Kingsbury,15.5,Howard Books,09/02/2014,384
240,9780062335975,How to Build a Girl: A Novel,Caitlin Moran,17.07,Harper,09/23/2014,352
241,9780385351836,One More Thing: Stories and Other Stories,B. J. Novak,15.25,Knopf,02/04/2014,288
242,9780615590585,The Pecan Man,Cassie Dandridge Selleck,8.99,The Pecan Man,01/01/2012,144
243,9780307956996,Perfidia: A novel,James Ellroy,17.8,Knopf,09/09/2014,720
244,9781400079155,Inferno (Robert Langdon),Dan Brown,7.83,Anchor,05/06/2014,624
245,9780451241160,Immortal: A Novel of the Fallen Angels,J.R. Ward,17.68,NAL Hardcover,10/07/2014,400
246,9781455529780,Private Down Under,James Patterson,11.84,Grand Central Publishing,08/26/2014,384
247,9780991379651,The Fixed Trilogy,Laurelin Paige,21.88,Paige Press,04/10/2014,794
248,9781625781543,Day of Wrath,William R. Forstchen,6.99,"Spectrum Literary Agency, Inc.",08/29/2014,188
249,9781416957768,The 7 Habits of Happy Kids,Sean Covey,13.1,Simon & Schuster Books for Young Readers,09/16/2008,96
250,9780452011878,Atlas Shrugged,Ayn Rand,17.14,Plume,08/01/1999,1200
251,9780061120060,Their Eyes Were Watching God,Zora Neale Hurston,9.6,Harper Perennial Modern Classics,05/30/2006,256
252,9781932907001,Save The Cat! The Last Book on Screenwriting You'll Ever Need,Blake Snyder,11.57,Michael Wiese Productions,05/25/2005,195
